iter,timestamp,algorithm_desc,case,problem,algorithm,max_L1,max_UB,max_L0A_count,max_L0B_count,max_L0C_count,spills,extra,time,schedule_len,valid,violations
009,2026-06-08T08:58:25.296733+00:00,buf_id_waiter_fix,FlashAttention_Case0,1,autoresearch,256,8258,24,32,4,0,0,31063,1716,True,0
009,2026-06-08T08:58:25.296733+00:00,buf_id_waiter_fix,Matmul_Case0,1,autoresearch,128,0,57,448,8,0,0,82308,4160,True,0
010,2026-06-08T08:58:44.041645+00:00,buf_id_waiter_fix_full,Conv_Case0,1,autoresearch,16132,0,0,290,0,0,0,445495,2580,True,0
010,2026-06-08T08:58:44.041645+00:00,buf_id_waiter_fix_full,Conv_Case1,1,autoresearch,13786,0,0,5264,0,0,0,650044,36086,True,0
010,2026-06-08T08:58:44.041645+00:00,buf_id_waiter_fix_full,FlashAttention_Case0,1,autoresearch,256,8258,24,32,4,0,0,31063,1716,True,0
010,2026-06-08T08:58:44.041645+00:00,buf_id_waiter_fix_full,FlashAttention_Case1,1,autoresearch,256,33010,112,128,8,0,0,112458,6952,True,0
010,2026-06-08T08:58:44.041645+00:00,buf_id_waiter_fix_full,Matmul_Case0,1,autoresearch,128,0,57,448,8,0,0,82308,4160,True,0
010,2026-06-08T08:58:44.041645+00:00,buf_id_waiter_fix_full,Matmul_Case1,1,autoresearch,128,0,241,3840,16,0,0,629076,30976,True,0
011,2026-06-08T09:02:26.297745+00:00,alloc_id_tiebreak,Conv_Case0,1,autoresearch,14980,0,0,136,0,0,0,382915,2580,True,0
011,2026-06-08T09:02:26.297745+00:00,alloc_id_tiebreak,FlashAttention_Case0,1,autoresearch,3328,8210,1,1,2,0,0,37838,1716,True,0
011,2026-06-08T09:02:26.297745+00:00,alloc_id_tiebreak,Matmul_Case0,1,autoresearch,9216,0,1,1,1,0,0,82773,4160,True,0
012,2026-06-08T09:03:53.186330+00:00,conv_memtype_id_tiebreak,Conv_Case0,1,autoresearch,14980,0,0,136,0,0,0,382915,2580,True,0
012,2026-06-08T09:03:53.186330+00:00,conv_memtype_id_tiebreak,FlashAttention_Case0,1,autoresearch,256,8258,24,32,4,0,0,31063,1716,True,0
012,2026-06-08T09:03:53.186330+00:00,conv_memtype_id_tiebreak,Matmul_Case0,1,autoresearch,128,0,57,448,8,0,0,82308,4160,True,0
013,2026-06-08T09:04:14.920522+00:00,conv_memtype_id_tiebreak_full,Conv_Case0,1,autoresearch,14980,0,0,136,0,0,0,382915,2580,True,0
013,2026-06-08T09:04:14.920522+00:00,conv_memtype_id_tiebreak_full,Conv_Case1,1,autoresearch,14040,0,0,1,0,0,0,573395,36086,True,0
013,2026-06-08T09:04:14.920522+00:00,conv_memtype_id_tiebreak_full,FlashAttention_Case0,1,autoresearch,256,8258,24,32,4,0,0,31063,1716,True,0
013,2026-06-08T09:04:14.920522+00:00,conv_memtype_id_tiebreak_full,FlashAttention_Case1,1,autoresearch,256,33010,112,128,8,0,0,112458,6952,True,0
013,2026-06-08T09:04:14.920522+00:00,conv_memtype_id_tiebreak_full,Matmul_Case0,1,autoresearch,128,0,57,448,8,0,0,82308,4160,True,0
013,2026-06-08T09:04:14.920522+00:00,conv_memtype_id_tiebreak_full,Matmul_Case1,1,autoresearch,128,0,241,3840,16,0,0,629076,30976,True,0
014,2026-06-08T09:06:05.038164+00:00,d2s_conv_id_tiebreak,Conv_Case0,1,autoresearch,14980,0,0,136,0,0,0,382915,2580,True,0
014,2026-06-08T09:06:05.038164+00:00,d2s_conv_id_tiebreak,FlashAttention_Case0,1,autoresearch,256,8258,24,32,4,0,0,31063,1716,True,0
014,2026-06-08T09:06:05.038164+00:00,d2s_conv_id_tiebreak,Matmul_Case0,1,autoresearch,128,0,57,448,8,0,0,82308,4160,True,0
015,2026-06-08T09:06:23.640599+00:00,d2s_conv_id_tiebreak_full,Conv_Case0,1,autoresearch,14980,0,0,136,0,0,0,382915,2580,True,0
015,2026-06-08T09:06:23.640599+00:00,d2s_conv_id_tiebreak_full,Conv_Case1,1,autoresearch,13786,0,0,5264,0,0,0,650044,36086,True,0
015,2026-06-08T09:06:23.640599+00:00,d2s_conv_id_tiebreak_full,FlashAttention_Case0,1,autoresearch,256,8258,24,32,4,0,0,31063,1716,True,0
015,2026-06-08T09:06:23.640599+00:00,d2s_conv_id_tiebreak_full,FlashAttention_Case1,1,autoresearch,256,33010,112,128,8,0,0,112458,6952,True,0
015,2026-06-08T09:06:23.640599+00:00,d2s_conv_id_tiebreak_full,Matmul_Case0,1,autoresearch,128,0,57,448,8,0,0,82308,4160,True,0
015,2026-06-08T09:06:23.640599+00:00,d2s_conv_id_tiebreak_full,Matmul_Case1,1,autoresearch,128,0,241,3840,16,0,0,629076,30976,True,0
016,2026-06-08T09:54:45.569458+00:00,d2s_large_l1_delay,Conv_Case0,1,autoresearch,14980,0,0,286,0,0,0,382915,2580,True,0
016,2026-06-08T09:54:45.569458+00:00,d2s_large_l1_delay,FlashAttention_Case0,1,autoresearch,256,8258,24,32,4,0,0,31063,1716,True,0
016,2026-06-08T09:54:45.569458+00:00,d2s_large_l1_delay,Matmul_Case0,1,autoresearch,128,0,57,448,8,0,0,82308,4160,True,0
017,2026-06-08T09:56:06.797798+00:00,d2s_large_live_op_priority,Conv_Case0,1,autoresearch,14980,0,0,136,0,0,0,382915,2580,True,0
017,2026-06-08T09:56:06.797798+00:00,d2s_large_live_op_priority,FlashAttention_Case0,1,autoresearch,256,8258,24,32,4,0,0,31063,1716,True,0
017,2026-06-08T09:56:06.797798+00:00,d2s_large_live_op_priority,Matmul_Case0,1,autoresearch,128,0,57,448,8,0,0,82308,4160,True,0
018,2026-06-08T09:57:21.186567+00:00,d2s_multiuse_l1_delay,Conv_Case0,1,autoresearch,14980,0,0,290,0,0,0,445495,2580,True,0
018,2026-06-08T09:57:21.186567+00:00,d2s_multiuse_l1_delay,FlashAttention_Case0,1,autoresearch,256,8258,24,32,4,0,0,31063,1716,True,0
018,2026-06-08T09:57:21.186567+00:00,d2s_multiuse_l1_delay,Matmul_Case0,1,autoresearch,128,0,57,448,8,0,0,82308,4160,True,0
019,2026-06-08T09:58:33.322544+00:00,d2s_alloc_first,Conv_Case0,1,autoresearch,12194,0,0,1,0,0,0,361481,2580,True,0
019,2026-06-08T09:58:33.322544+00:00,d2s_alloc_first,FlashAttention_Case0,1,autoresearch,256,8258,24,32,4,0,0,31063,1716,True,0
019,2026-06-08T09:58:33.322544+00:00,d2s_alloc_first,Matmul_Case0,1,autoresearch,128,0,57,448,8,0,0,82308,4160,True,0
020,2026-06-08T09:59:12.191547+00:00,d2s_alloc_first_full,Conv_Case0,1,autoresearch,12194,0,0,1,0,0,0,361481,2580,True,0
020,2026-06-08T09:59:12.191547+00:00,d2s_alloc_first_full,Conv_Case1,1,autoresearch,13786,0,0,5264,0,0,0,650044,36086,True,0
020,2026-06-08T09:59:12.191547+00:00,d2s_alloc_first_full,FlashAttention_Case0,1,autoresearch,256,8258,24,32,4,0,0,31063,1716,True,0
020,2026-06-08T09:59:12.191547+00:00,d2s_alloc_first_full,FlashAttention_Case1,1,autoresearch,256,33010,112,128,8,0,0,112458,6952,True,0
020,2026-06-08T09:59:12.191547+00:00,d2s_alloc_first_full,Matmul_Case0,1,autoresearch,128,0,57,448,8,0,0,82308,4160,True,0
020,2026-06-08T09:59:12.191547+00:00,d2s_alloc_first_full,Matmul_Case1,1,autoresearch,128,0,241,3840,16,0,0,629076,30976,True,0
021,2026-06-08T10:00:59.434736+00:00,d2s_ready_alloc_first,Conv_Case0,1,autoresearch,7488,0,0,1,0,0,0,361481,2580,True,0
021,2026-06-08T10:00:59.434736+00:00,d2s_ready_alloc_first,FlashAttention_Case0,1,autoresearch,256,8258,24,32,4,0,0,31063,1716,True,0
021,2026-06-08T10:00:59.434736+00:00,d2s_ready_alloc_first,Matmul_Case0,1,autoresearch,128,0,57,448,8,0,0,82308,4160,True,0
022,2026-06-08T10:01:35.974566+00:00,d2s_ready_alloc_first_full,Conv_Case0,1,autoresearch,7488,0,0,1,0,0,0,361481,2580,True,0
022,2026-06-08T10:01:35.974566+00:00,d2s_ready_alloc_first_full,Conv_Case1,1,autoresearch,13786,0,0,5264,0,0,0,650044,36086,True,0
022,2026-06-08T10:01:35.974566+00:00,d2s_ready_alloc_first_full,FlashAttention_Case0,1,autoresearch,256,8258,24,32,4,0,0,31063,1716,True,0
022,2026-06-08T10:01:35.974566+00:00,d2s_ready_alloc_first_full,FlashAttention_Case1,1,autoresearch,256,33010,112,128,8,0,0,112458,6952,True,0
022,2026-06-08T10:01:35.974566+00:00,d2s_ready_alloc_first_full,Matmul_Case0,1,autoresearch,128,0,57,448,8,0,0,82308,4160,True,0
022,2026-06-08T10:01:35.974566+00:00,d2s_ready_alloc_first_full,Matmul_Case1,1,autoresearch,128,0,241,3840,16,0,0,629076,30976,True,0
023,2026-06-08T10:02:43.815596+00:00,d2s_ready1_alloc_first,Conv_Case0,1,autoresearch,14980,0,0,136,0,0,0,382915,2580,True,0
023,2026-06-08T10:02:43.815596+00:00,d2s_ready1_alloc_first,FlashAttention_Case0,1,autoresearch,256,8258,24,32,4,0,0,31063,1716,True,0
023,2026-06-08T10:02:43.815596+00:00,d2s_ready1_alloc_first,Matmul_Case0,1,autoresearch,128,0,57,448,8,0,0,82308,4160,True,0
024,2026-06-08T10:03:36.496777+00:00,d2s_ready3_alloc_first,Conv_Case0,1,autoresearch,10180,0,0,1,0,0,0,361481,2580,True,0
024,2026-06-08T10:03:36.496777+00:00,d2s_ready3_alloc_first,FlashAttention_Case0,1,autoresearch,256,8258,24,32,4,0,0,31063,1716,True,0
024,2026-06-08T10:03:36.496777+00:00,d2s_ready3_alloc_first,Matmul_Case0,1,autoresearch,128,0,57,448,8,0,0,82308,4160,True,0
026,2026-06-08T10:05:43.993983+00:00,d2s_effective_successor_wait,Conv_Case0,1,autoresearch,7488,0,0,1,0,0,0,361481,2580,True,0
026,2026-06-08T10:05:43.993983+00:00,d2s_effective_successor_wait,FlashAttention_Case0,1,autoresearch,256,2864,24,32,4,0,0,34074,1716,True,0
026,2026-06-08T10:05:43.993983+00:00,d2s_effective_successor_wait,Matmul_Case0,1,autoresearch,128,0,57,448,8,0,0,82308,4160,True,0
027,2026-06-08T10:07:26.215034+00:00,d2s_effective_wait_refresh,Conv_Case0,1,autoresearch,7488,0,0,1,0,0,0,361481,2580,True,0
027,2026-06-08T10:07:26.215034+00:00,d2s_effective_wait_refresh,FlashAttention_Case0,1,autoresearch,256,8258,24,32,4,0,0,31063,1716,True,0
027,2026-06-08T10:07:26.215034+00:00,d2s_effective_wait_refresh,Matmul_Case0,1,autoresearch,128,0,57,448,8,0,0,82308,4160,True,0
028,2026-06-08T10:10:11.942578+00:00,d2s_move_before_d2s,Conv_Case0,1,autoresearch,7488,0,0,1,0,0,0,361481,2580,True,0
028,2026-06-08T10:10:11.942578+00:00,d2s_move_before_d2s,FlashAttention_Case0,1,autoresearch,256,8258,24,32,4,0,0,31063,1716,True,0
028,2026-06-08T10:10:11.942578+00:00,d2s_move_before_d2s,Matmul_Case0,1,autoresearch,128,0,57,448,8,0,0,82308,4160,True,0
029,2026-06-08T10:11:52.062970+00:00,d2s_pipe_ready_ops,Conv_Case0,1,autoresearch,7488,0,0,1,0,0,0,361481,2580,True,0
029,2026-06-08T10:11:52.062970+00:00,d2s_pipe_ready_ops,FlashAttention_Case0,1,autoresearch,256,8258,24,32,4,0,0,31063,1716,True,0
029,2026-06-08T10:11:52.062970+00:00,d2s_pipe_ready_ops,Matmul_Case0,1,autoresearch,128,0,57,448,8,0,0,82308,4160,True,0
030,2026-06-08T10:13:28.437325+00:00,d2s_transfer_feed_alloc_first,Conv_Case0,1,autoresearch,6912,0,0,300,0,0,0,394430,2580,True,0
030,2026-06-08T10:13:28.437325+00:00,d2s_transfer_feed_alloc_first,FlashAttention_Case0,1,autoresearch,256,8258,24,32,4,0,0,31063,1716,True,0
030,2026-06-08T10:13:28.437325+00:00,d2s_transfer_feed_alloc_first,Matmul_Case0,1,autoresearch,128,0,57,448,8,0,0,82308,4160,True,0
031,2026-06-08T10:13:56.261327+00:00,d2s_transfer_feed_alloc_first_full,Conv_Case0,1,autoresearch,6912,0,0,300,0,0,0,394430,2580,True,0
031,2026-06-08T10:13:56.261327+00:00,d2s_transfer_feed_alloc_first_full,Conv_Case1,1,autoresearch,13786,0,0,5264,0,0,0,650044,36086,True,0
031,2026-06-08T10:13:56.261327+00:00,d2s_transfer_feed_alloc_first_full,FlashAttention_Case0,1,autoresearch,256,8258,24,32,4,0,0,31063,1716,True,0
031,2026-06-08T10:13:56.261327+00:00,d2s_transfer_feed_alloc_first_full,FlashAttention_Case1,1,autoresearch,256,33010,112,128,8,0,0,112458,6952,True,0
031,2026-06-08T10:13:56.261327+00:00,d2s_transfer_feed_alloc_first_full,Matmul_Case0,1,autoresearch,128,0,57,448,8,0,0,82308,4160,True,0
031,2026-06-08T10:13:56.261327+00:00,d2s_transfer_feed_alloc_first_full,Matmul_Case1,1,autoresearch,128,0,241,3840,16,0,0,629076,30976,True,0
032,2026-06-08T10:15:39.679098+00:00,d2s_copyin_feed_alloc_first,Conv_Case0,1,autoresearch,39010,0,0,1,0,0,0,361481,2580,True,0
032,2026-06-08T10:15:39.679098+00:00,d2s_copyin_feed_alloc_first,FlashAttention_Case0,1,autoresearch,256,8258,24,32,4,0,0,31063,1716,True,0
032,2026-06-08T10:15:39.679098+00:00,d2s_copyin_feed_alloc_first,Matmul_Case0,1,autoresearch,128,0,57,448,8,0,0,82308,4160,True,0
033,2026-06-11T02:31:06.557547+00:00,unified_p123,Conv_Case0,1,autoresearch,6912,0,0,300,0,0,0,394430,2580,True,0
033,2026-06-11T02:31:06.557547+00:00,unified_p123,Conv_Case0,2,autoresearch,7488,0,0,1,0,136,78876,551973,2852,True,0
033,2026-06-11T02:31:06.557547+00:00,unified_p123,Conv_Case0,3,autoresearch,7488,0,0,1,0,136,78876,551973,2852,True,0
033,2026-06-11T02:31:06.557547+00:00,unified_p123,FlashAttention_Case0,1,autoresearch,256,8258,24,32,4,0,0,31063,1716,True,0
033,2026-06-11T02:31:06.557547+00:00,unified_p123,FlashAttention_Case0,2,autoresearch,256,8258,24,32,4,206,47756,163369,2128,True,0
033,2026-06-11T02:31:06.557547+00:00,unified_p123,FlashAttention_Case0,3,autoresearch,256,8258,24,32,4,206,47756,163369,2128,True,0
033,2026-06-11T02:31:06.557547+00:00,unified_p123,Matmul_Case0,1,autoresearch,128,0,57,448,8,0,0,82308,4160,True,0
033,2026-06-11T02:31:06.557547+00:00,unified_p123,Matmul_Case0,2,autoresearch,16384,0,1,1,1,370,47360,237565,4900,True,0
033,2026-06-11T02:31:06.557547+00:00,unified_p123,Matmul_Case0,3,autoresearch,16384,0,1,1,1,370,47360,237565,4900,True,0
034,2026-06-11T02:32:50.173964+00:00,capfit_p123,Conv_Case0,1,autoresearch,6912,0,0,300,0,0,0,394430,2580,True,0
034,2026-06-11T02:33:55.608441+00:00,capfit_p123,Conv_Case0,1,autoresearch,6912,0,0,300,0,0,0,394430,2580,True,0
034,2026-06-11T02:33:55.608441+00:00,capfit_p123,Conv_Case0,2,autoresearch,16132,0,0,290,0,379,147412,763783,3338,True,0
034,2026-06-11T02:33:55.608441+00:00,capfit_p123,Conv_Case0,3,autoresearch,16132,0,0,290,0,379,147412,763783,3338,True,0
034,2026-06-11T02:33:55.608441+00:00,capfit_p123,FlashAttention_Case0,1,autoresearch,256,8258,24,32,4,0,0,31063,1716,True,0
034,2026-06-11T02:33:55.608441+00:00,capfit_p123,FlashAttention_Case0,2,autoresearch,256,8258,24,32,4,215,48548,168286,2146,True,0
