case,problem,comparator,key_kind,ours_key,comparator_key,result
FlashAttention_Case0,1,cp_free_first,p1_bytes_proxy,"(256, 8258, 3072, 4096, 1024, 168286)","(3328, 1428, 128, 128, 512, 53030)",WIN
FlashAttention_Case0,1,pressure_uniform,p1_bytes_proxy,"(256, 8258, 3072, 4096, 1024, 168286)","(256, 25352, 8192, 8192, 256, 384116)",WIN
FlashAttention_Case0,1,goodman_hsu,p1_bytes_proxy,"(256, 8258, 3072, 4096, 1024, 168286)","(4096, 25352, 8192, 8192, 256, 339636)",WIN
FlashAttention_Case0,1,baseline,p1_bytes_proxy,"(256, 8258, 3072, 4096, 1024, 168286)","(3328, 1428, 128, 128, 256, 50993)",WIN
FlashAttention_Case0,2,cp_list,p2_official,"(3904, 31, 51700)","(211784, 1085, 716486)",WIN
FlashAttention_Case0,2,cp_free_first,p2_official,"(3904, 31, 51700)","(3904, 31, 53030)",WIN
FlashAttention_Case0,2,pressure_uniform,p2_official,"(3904, 31, 51700)","(101356, 559, 384116)",WIN
FlashAttention_Case0,2,goodman_hsu,p2_official,"(3904, 31, 51700)","(90092, 515, 339636)",WIN
FlashAttention_Case0,2,baseline,p2_official,"(3904, 31, 51700)","(3904, 31, 50993)",LOSS
FlashAttention_Case0,3,cp_list,p3_official,"(46167, 5832, 58)","(716486, 211784, 1085)",WIN
FlashAttention_Case0,3,cp_free_first,p3_official,"(46167, 5832, 58)","(53030, 3904, 31)",WIN
FlashAttention_Case0,3,pressure_uniform,p3_official,"(46167, 5832, 58)","(384116, 101356, 559)",WIN
FlashAttention_Case0,3,goodman_hsu,p3_official,"(46167, 5832, 58)","(339636, 90092, 515)",WIN
FlashAttention_Case0,3,baseline,p3_official,"(46167, 5832, 58)","(50993, 3904, 31)",WIN
FlashAttention_Case1,1,cp_list,p1_bytes_proxy,"(256, 33010, 14336, 16384, 2048, 829679)","(28672, 105616, 32768, 32768, 49152, 3227726)",WIN
FlashAttention_Case1,1,cp_free_first,p1_bytes_proxy,"(256, 33010, 14336, 16384, 2048, 829679)","(5376, 2468, 128, 128, 512, 227533)",WIN
FlashAttention_Case1,1,pressure_uniform,p1_bytes_proxy,"(256, 33010, 14336, 16384, 2048, 829679)","(256, 105616, 32768, 32768, 256, 1660093)",WIN
FlashAttention_Case1,1,goodman_hsu,p1_bytes_proxy,"(256, 33010, 14336, 16384, 2048, 829679)","(4096, 105616, 32768, 32768, 256, 1560913)",WIN
FlashAttention_Case1,1,baseline,p1_bytes_proxy,"(256, 33010, 14336, 16384, 2048, 829679)","(5376, 2468, 128, 128, 256, 226085)",WIN
FlashAttention_Case1,2,cp_list,p2_official,"(32920, 229, 214361)","(965944, 4848, 3227726)",WIN
FlashAttention_Case1,2,cp_free_first,p2_official,"(32920, 229, 214361)","(33152, 224, 227533)",WIN
FlashAttention_Case1,2,pressure_uniform,p2_official,"(32920, 229, 214361)","(445876, 2479, 1660093)",WIN
FlashAttention_Case1,2,goodman_hsu,p2_official,"(32920, 229, 214361)","(418228, 2371, 1560913)",WIN
FlashAttention_Case1,2,baseline,p2_official,"(32920, 229, 214361)","(33152, 224, 226085)",WIN
FlashAttention_Case1,3,cp_list,p3_official,"(180364, 34432, 229)","(3227726, 965944, 4848)",WIN
FlashAttention_Case1,3,cp_free_first,p3_official,"(180364, 34432, 229)","(227533, 33152, 224)",WIN
FlashAttention_Case1,3,pressure_uniform,p3_official,"(180364, 34432, 229)","(1660093, 445876, 2479)",WIN
FlashAttention_Case1,3,goodman_hsu,p3_official,"(180364, 34432, 229)","(1560913, 418228, 2371)",WIN
FlashAttention_Case1,3,baseline,p3_official,"(180364, 34432, 229)","(226085, 33152, 224)",WIN
Matmul_Case0,1,cp_list,p1_bytes_proxy,"(128, 0, 7296, 57344, 2048, 936347)","(16384, 0, 65536, 65536, 16384, 2173329)",WIN
Matmul_Case0,1,cp_free_first,p1_bytes_proxy,"(128, 0, 7296, 57344, 2048, 936347)","(9216, 0, 128, 128, 256, 194331)",WIN
Matmul_Case0,1,pressure_uniform,p1_bytes_proxy,"(128, 0, 7296, 57344, 2048, 936347)","(9216, 0, 65536, 65536, 256, 897262)",WIN
Matmul_Case0,1,goodman_hsu,p1_bytes_proxy,"(128, 0, 7296, 57344, 2048, 936347)","(10752, 0, 65536, 65536, 256, 917054)",WIN
Matmul_Case0,1,baseline,p1_bytes_proxy,"(128, 0, 7296, 57344, 2048, 936347)","(9216, 0, 128, 128, 256, 194331)",WIN
Matmul_Case0,2,cp_list,p2_official,"(34688, 271, 192380)","(823168, 2719, 2173329)",WIN
Matmul_Case0,2,cp_free_first,p2_official,"(34688, 271, 192380)","(34944, 273, 194331)",WIN
Matmul_Case0,2,pressure_uniform,p2_official,"(34688, 271, 192380)","(296064, 1293, 897262)",WIN
Matmul_Case0,2,goodman_hsu,p2_official,"(34688, 271, 192380)","(298240, 1310, 917054)",WIN
Matmul_Case0,2,baseline,p2_official,"(34688, 271, 192380)","(34944, 273, 194331)",WIN
Matmul_Case0,3,cp_list,p3_official,"(186820, 34944, 273)","(2173329, 823168, 2719)",WIN
Matmul_Case0,3,cp_free_first,p3_official,"(186820, 34944, 273)","(194331, 34944, 273)",WIN
Matmul_Case0,3,pressure_uniform,p3_official,"(186820, 34944, 273)","(897262, 296064, 1293)",WIN
