case,order,victim,extra,spills,clean_bytes,dirty_bytes,clean_count,dirty_count
Conv_Case1,min_id,cost_then_dist,1204274,16408,276642,927632,5796,10612
Conv_Case1,min_id,cheap_first,1204274,16408,276642,927632,5796,10612
Conv_Case1,min_id,far_only,1113572,14299,168374,945198,3067,11232
Conv_Case1,baseline,dist_size_cost,73348,1978,67520,5828,1840,138
Conv_Case1,baseline,cost_then_dist,79952,2122,79952,0,2122,0
Conv_Case1,baseline,cheap_first,79952,2122,79952,0,2122,0
Conv_Case1,baseline,far_only,77758,2289,62208,15550,1736,553
FlashAttention_Case0,capfit_id,dist_size_cost,4444,40,0,4444,0,40
FlashAttention_Case0,capfit_id,cost_then_dist,4444,40,0,4444,0,40
FlashAttention_Case0,capfit_id,cheap_first,4444,40,0,4444,0,40
FlashAttention_Case0,capfit_id,far_only,4444,40,0,4444,0,40
FlashAttention_Case0,p1,dist_size_cost,48548,215,0,48548,0,215
FlashAttention_Case0,p1,cost_then_dist,48548,215,0,48548,0,215
FlashAttention_Case0,p1,cheap_first,48548,215,0,48548,0,215
FlashAttention_Case0,p1,far_only,48548,215,0,48548,0,215
FlashAttention_Case0,id_raw,dist_size_cost,3904,31,0,3904,0,31
FlashAttention_Case0,id_raw,cost_then_dist,3904,31,0,3904,0,31
FlashAttention_Case0,id_raw,cheap_first,3904,31,0,3904,0,31
FlashAttention_Case0,id_raw,far_only,3904,31,0,3904,0,31
FlashAttention_Case0,min_id,dist_size_cost,117520,559,3328,114192,13,546
FlashAttention_Case0,min_id,cost_then_dist,120592,581,11520,109072,45,536
FlashAttention_Case0,min_id,cheap_first,120592,581,11520,109072,45,536
FlashAttention_Case0,min_id,far_only,118288,559,2560,115728,10,549
FlashAttention_Case0,baseline,dist_size_cost,3904,31,0,3904,0,31
FlashAttention_Case0,baseline,cost_then_dist,3904,31,0,3904,0,31
FlashAttention_Case0,baseline,cheap_first,3904,31,0,3904,0,31
FlashAttention_Case0,baseline,far_only,3904,31,0,3904,0,31
FlashAttention_Case1,capfit_id,dist_size_cost,32920,229,8448,24472,33,196
FlashAttention_Case1,capfit_id,cost_then_dist,32920,229,8448,24472,33,196
FlashAttention_Case1,capfit_id,cheap_first,32920,229,8448,24472,33,196
FlashAttention_Case1,capfit_id,far_only,32920,229,8448,24472,33,196
FlashAttention_Case1,p1,dist_size_cost,245104,1146,0,245104,0,1146
FlashAttention_Case1,p1,cost_then_dist,245104,1146,0,245104,0,1146
FlashAttention_Case1,p1,cheap_first,245104,1146,0,245104,0,1146
FlashAttention_Case1,p1,far_only,245104,1146,0,245104,0,1146
FlashAttention_Case1,id_raw,dist_size_cost,33152,224,8448,24704,33,191
FlashAttention_Case1,id_raw,cost_then_dist,33152,224,8448,24704,33,191
FlashAttention_Case1,id_raw,cheap_first,33152,224,8448,24704,33,191
FlashAttention_Case1,id_raw,far_only,33152,224,8448,24704,33,191
FlashAttention_Case1,min_id,dist_size_cost,511024,2497,17408,493616,68,2429
FlashAttention_Case1,min_id,cost_then_dist,575536,2762,88576,486960,346,2416
FlashAttention_Case1,min_id,cheap_first,575536,2762,88576,486960,346,2416
FlashAttention_Case1,min_id,far_only,511536,2497,16896,494640,66,2431
FlashAttention_Case1,baseline,dist_size_cost,33152,224,8448,24704,33,191
FlashAttention_Case1,baseline,cost_then_dist,33152,224,8448,24704,33,191
FlashAttention_Case1,baseline,cheap_first,33152,224,8448,24704,33,191
FlashAttention_Case1,baseline,far_only,33152,224,8448,24704,33,191
Matmul_Case0,capfit_id,dist_size_cost,34688,271,34688,0,271,0
Matmul_Case0,capfit_id,cost_then_dist,34688,271,34688,0,271,0
Matmul_Case0,capfit_id,cheap_first,34688,271,34688,0,271,0
Matmul_Case0,capfit_id,far_only,34688,271,34688,0,271,0
Matmul_Case0,p1,dist_size_cost,311296,880,0,311296,0,880
Matmul_Case0,p1,cost_then_dist,311296,880,0,311296,0,880
Matmul_Case0,p1,cheap_first,311296,880,0,311296,0,880
Matmul_Case0,p1,far_only,311296,880,0,311296,0,880
Matmul_Case0,id_raw,dist_size_cost,34944,273,34944,0,273,0
Matmul_Case0,id_raw,cost_then_dist,34944,273,34944,0,273,0
Matmul_Case0,id_raw,cheap_first,34944,273,34944,0,273,0
Matmul_Case0,id_raw,far_only,34944,273,34944,0,273,0
Matmul_Case0,min_id,dist_size_cost,340224,1452,47360,292864,370,1082
Matmul_Case0,min_id,cost_then_dist,340224,1452,47360,292864,370,1082
Matmul_Case0,min_id,cheap_first,340224,1452,47360,292864,370,1082
Matmul_Case0,min_id,far_only,340224,1452,47360,292864,370,1082
Matmul_Case0,baseline,dist_size_cost,34944,273,34944,0,273,0
Matmul_Case0,baseline,cost_then_dist,34944,273,34944,0,273,0
Matmul_Case0,baseline,cheap_first,34944,273,34944,0,273,0
Matmul_Case0,baseline,far_only,34944,273,34944,0,273,0
Matmul_Case1,capfit_id,dist_size_cost,460800,3600,460800,0,3600,0
Matmul_Case1,capfit_id,cost_then_dist,460800,3600,460800,0,3600,0
Matmul_Case1,capfit_id,cheap_first,460800,3600,460800,0,3600,0
Matmul_Case1,capfit_id,far_only,460800,3600,460800,0,3600,0
Matmul_Case1,p1,dist_size_cost,2818048,7648,0,2818048,0,7648
Matmul_Case1,p1,cost_then_dist,2818048,7648,0,2818048,0,7648
Matmul_Case1,p1,cheap_first,2818048,7648,0,2818048,0,7648
Matmul_Case1,p1,far_only,2818048,7648,0,2818048,0,7648
Matmul_Case1,id_raw,dist_size_cost,460800,3600,460800,0,3600,0
Matmul_Case1,id_raw,cost_then_dist,460800,3600,460800,0,3600,0
Matmul_Case1,id_raw,cheap_first,460800,3600,460800,0,3600,0
Matmul_Case1,id_raw,far_only,460800,3600,460800,0,3600,0
Matmul_Case1,min_id,dist_size_cost,2748544,12523,522368,2226176,4081,8442
Matmul_Case1,min_id,cost_then_dist,2748544,12523,522368,2226176,4081,8442
Matmul_Case1,min_id,cheap_first,2748544,12523,522368,2226176,4081,8442
Matmul_Case1,min_id,far_only,2748544,12523,522368,2226176,4081,8442
Matmul_Case1,baseline,dist_size_cost,460800,3600,460800,0,3600,0
Matmul_Case1,baseline,cost_then_dist,460800,3600,460800,0,3600,0
Matmul_Case1,baseline,cheap_first,460800,3600,460800,0,3600,0
Matmul_Case1,baseline,far_only,460800,3600,460800,0,3600,0
