case,order,victim,extra,spills,clean_bytes,dirty_bytes,clean_count,dirty_count
Conv_Case0,capfit_id,dist_size_cost,121048,157,7200,113848,50,107
Conv_Case0,capfit_id,cost_then_dist,123880,168,8496,115384,59,109
Conv_Case0,capfit_id,cheap_first,123880,168,8496,115384,59,109
Conv_Case0,capfit_id,far_only,123160,150,5472,117688,38,112
Conv_Case0,p1,dist_size_cost,88044,339,0,88044,0,339
Conv_Case0,p1,cost_then_dist,88044,339,0,88044,0,339
Conv_Case0,p1,cheap_first,88044,339,0,88044,0,339
Conv_Case0,p1,far_only,88044,339,0,88044,0,339
Conv_Case0,id_raw,dist_size_cost,212956,241,14400,198556,100,141
Conv_Case0,id_raw,cost_then_dist,220332,271,19872,200460,138,133
Conv_Case0,id_raw,cheap_first,220332,271,19872,200460,138,133
Conv_Case0,id_raw,far_only,227740,245,12096,215644,84,161
Conv_Case0,min_id,dist_size_cost,473801,1071,52929,420872,413,658
Conv_Case0,min_id,cost_then_dist,479945,1136,64849,415096,491,645
Conv_Case0,min_id,cheap_first,479945,1136,64849,415096,491,645
Conv_Case0,min_id,far_only,483257,1057,48753,434504,384,673
Conv_Case0,baseline,dist_size_cost,88768,164,13104,75664,91,73
Conv_Case0,baseline,cost_then_dist,74076,163,16464,57612,110,53
Conv_Case0,baseline,cheap_first,74076,163,16464,57612,110,53
Conv_Case0,baseline,far_only,90644,159,11520,79124,80,79
Conv_Case1,capfit_id,dist_size_cost,78056,2237,67024,11032,1770,467
Conv_Case1,capfit_id,cost_then_dist,86008,2456,80776,5232,2129,327
Conv_Case1,capfit_id,cheap_first,86008,2456,80776,5232,2129,327
Conv_Case1,capfit_id,far_only,84712,2664,63296,21416,1768,896
Conv_Case1,p1,dist_size_cost,382612,5489,9872,372740,218,5271
Conv_Case1,p1,cost_then_dist,382592,5479,9872,372720,218,5261
Conv_Case1,p1,cheap_first,382592,5479,9872,372720,218,5261
Conv_Case1,p1,far_only,382612,5489,9872,372740,218,5271
Conv_Case1,id_raw,dist_size_cost,73348,1978,67520,5828,1840,138
Conv_Case1,id_raw,cost_then_dist,79952,2122,79952,0,2122,0
Conv_Case1,id_raw,cheap_first,79952,2122,79952,0,2122,0
Conv_Case1,id_raw,far_only,77758,2289,62208,15550,1736,553
Conv_Case1,min_id,dist_size_cost,1107476,13993,176542,930934,3240,10753
