case,order,phi,peak_over,extra_p2,time_p3
Matmul_Case0,random:11,676412.96875,152064,1071360,2624591
Matmul_Case1,capfit_id,122986.84375,30720,460800,1793377
Matmul_Case1,p1,17329404.5,525440,2818048,8294143
Matmul_Case1,id_raw,123097.5,30720,460800,1771445
Matmul_Case1,min_id,37919642.0,1174528,2748544,9360886
Matmul_Case1,baseline,123097.5,30720,460800,1771383
Matmul_Case1,random:0,38632352.53125,1138432,9012992,21420516
Matmul_Case1,random:1,38667101.0625,1142016,9015808,21389405
Matmul_Case1,random:2,38710741.9375,1146368,9001728,21418465
Matmul_Case1,random:3,38741994.34375,1148800,8996608,21394690
Matmul_Case1,random:4,38662077.125,1141248,9011840,21436082
Matmul_Case1,random:5,38601148.84375,1139200,9030912,21411493
Matmul_Case1,random:6,38720915.40625,1149184,9002112,21366026
Matmul_Case1,random:7,38603345.28125,1138816,9006336,21356749
Matmul_Case1,random:8,38673497.90625,1143552,9004160,21354124
Matmul_Case1,random:9,38701769.1875,1142656,9009152,21423551
Matmul_Case1,random:10,38627760.40625,1140480,9026560,21456357
Matmul_Case1,random:11,38715423.5625,1145728,9015552,21432232
