case,order,phi,peak_over,extra_p2,time_p3
Conv_Case0,capfit_id,125.143798828125,5264,121048,747651
Conv_Case0,p1,56222.16748046875,20336,88044,571177
Conv_Case0,id_raw,722.4853515625,10496,212956,898694
Conv_Case0,min_id,81466.0986328125,146455,473801,1634420
Conv_Case0,baseline,151.80810546875,3392,88768,689088
Conv_Case0,random:10,95163.64135742188,129911,666926,2190640
Conv_Case1,capfit_id,21621.41259765625,10016,78056,1245043
Conv_Case1,p1,7626789.541015625,195962,382612,2877648
Conv_Case1,id_raw,20733.03515625,9944,73348,1111778
Conv_Case1,min_id,9853448.428710938,565816,1107476,6365573
Conv_Case1,baseline,20780.7763671875,9944,73348,1111778
Conv_Case1,random:0,10512504.130126953,542912,2181054,10405933
Conv_Case1,random:1,10472612.714355469,539905,2202909,10496122
Conv_Case1,random:2,10436229.979003906,556012,2183930,10440834
Conv_Case1,random:3,10474232.77319336,553650,2192501,10519537
Conv_Case1,random:4,10447471.02758789,555448,2184908,10348253
Conv_Case1,random:5,10540598.68359375,543070,2194108,10589200
Conv_Case1,random:6,10479272.213867188,548153,2200493,10533684
Conv_Case1,random:7,10421895.435791016,542284,2201855,10507311
Conv_Case1,random:8,10446388.344726562,547756,2210254,10434645
Conv_Case1,random:9,10446961.981201172,543637,2211009,10514862
Conv_Case1,random:10,10498686.723632812,557105,2166096,10221237
Conv_Case1,random:11,10503137.80859375,543238,2205228,10494337
FlashAttention_Case0,capfit_id,120.21484375,486,4444,47608
FlashAttention_Case0,p1,9301.62890625,14402,48548,155589
FlashAttention_Case0,id_raw,108.306640625,404,3904,50402
FlashAttention_Case0,min_id,60524.509765625,58120,117520,424839
FlashAttention_Case0,baseline,109.453125,404,3904,50195
FlashAttention_Case0,random:0,53254.87109375,55544,251952,791202
FlashAttention_Case0,random:1,51249.986328125,57222,246052,793240
FlashAttention_Case0,random:2,53232.431640625,55814,246604,804464
FlashAttention_Case0,random:3,53198.3671875,57480,250484,793353
FlashAttention_Case0,random:4,55606.9140625,56968,231916,778073
FlashAttention_Case0,random:5,55310.416015625,56438,237176,791506
FlashAttention_Case0,random:6,51710.287109375,56968,253000,802442
FlashAttention_Case0,random:7,51309.115234375,56456,252796,827674
FlashAttention_Case0,random:8,53135.68359375,56584,245808,783628
FlashAttention_Case0,random:9,53709.779296875,57080,242788,782800
FlashAttention_Case0,random:10,54006.609375,56584,241392,764659
FlashAttention_Case0,random:11,51853.416015625,56824,245748,781971
FlashAttention_Case1,capfit_id,5410.021484375,2724,32920,192438
FlashAttention_Case1,p1,173402.76171875,63730,245104,735657
FlashAttention_Case1,id_raw,5426.751953125,2724,33152,209752
FlashAttention_Case1,min_id,1052964.353515625,242832,511024,1831512
FlashAttention_Case1,baseline,5434.015625,2724,33152,209085
FlashAttention_Case1,random:0,913209.55078125,239486,1225860,3627443
FlashAttention_Case1,random:1,887990.29296875,237962,1214644,3601420
FlashAttention_Case1,random:2,894497.359375,236678,1227152,3628690
FlashAttention_Case1,random:3,909234.263671875,238348,1234236,3673971
FlashAttention_Case1,random:4,897947.951171875,239500,1240612,3613718
FlashAttention_Case1,random:5,892335.466796875,236542,1220008,3674648
FlashAttention_Case1,random:6,903987.42578125,236678,1242636,3689303
FlashAttention_Case1,random:7,902024.287109375,238844,1257844,3731881
FlashAttention_Case1,random:8,900930.470703125,237198,1237396,3671794
FlashAttention_Case1,random:9,895911.986328125,238472,1238452,3641311
FlashAttention_Case1,random:10,905486.1875,239352,1223200,3639386
FlashAttention_Case1,random:11,884911.51953125,237456,1242712,3654294
Matmul_Case0,capfit_id,2344.84375,5120,34688,193636
Matmul_Case0,p1,277632.5,65664,311296,929463
Matmul_Case0,id_raw,2369.75,5120,34944,189465
Matmul_Case0,min_id,657082.75,158720,340224,1159244
Matmul_Case0,baseline,2369.75,5120,34944,189527
Matmul_Case0,random:0,676891.65625,152832,1063424,2608367
Matmul_Case0,random:1,678520.03125,153472,1065600,2604875
Matmul_Case0,random:2,677537.0,152704,1064064,2601999
Matmul_Case0,random:3,677002.9375,151936,1070720,2611010
Matmul_Case0,random:4,675917.03125,154752,1072896,2612685
Matmul_Case0,random:5,673139.0,151552,1064832,2592817
Matmul_Case0,random:6,677845.125,153472,1059584,2590875
Matmul_Case0,random:7,679689.8125,152832,1054208,2590340
Matmul_Case0,random:8,678631.65625,152448,1059584,2590765
Matmul_Case0,random:9,675310.46875,152064,1062016,2596368
Matmul_Case0,random:10,682395.96875,154112,1054976,2618846
