case,problem,ours_max_L1,ours_max_UB,ours_spills,ours_extra,ours_time,base_max_L1,base_max_UB,base_spills,base_extra,base_time,result
Conv_Case0,1,6912,0,0,0,394430,7488,0,0,0,359570,WIN
Conv_Case0,2,6912,0,339,88044,615694,7488,0,141,73500,535312,LOSS
Conv_Case0,3,6912,0,342,92652,553280,7488,0,141,73500,535312,LOSS
Conv_Case1,1,13786,0,0,0,650044,14040,0,0,0,573395,WIN
Conv_Case1,2,14040,0,1963,72520,1159169,14040,0,1828,73240,1150333,WIN
Conv_Case1,3,14040,0,1951,73578,1111778,14040,0,1290,86690,1073322,LOSS
FlashAttention_Case0,1,256,8258,0,0,31063,3328,1428,0,0,31429,WIN
FlashAttention_Case0,2,3328,1428,31,3904,51700,3328,1428,41,3692,53374,LOSS
FlashAttention_Case0,3,4096,1510,58,5832,46167,3328,1428,24,4128,46761,WIN
FlashAttention_Case1,1,256,33010,0,0,112458,5376,2468,0,0,113445,WIN
FlashAttention_Case1,2,5376,2468,229,32920,214361,5376,2468,146,32840,193059,LOSS
FlashAttention_Case1,3,5376,2468,229,34432,180364,5376,2468,146,32840,193059,WIN
Matmul_Case0,1,128,0,0,0,82308,9216,0,0,0,82773,WIN
Matmul_Case0,2,9216,0,271,34688,192380,9216,0,273,34944,194331,WIN
Matmul_Case0,3,9216,0,273,34944,186820,9216,0,273,34944,194331,WIN
Matmul_Case1,1,128,0,0,0,629076,34816,0,0,0,583525,WIN
Matmul_Case1,2,34816,0,3600,460800,1783145,34816,0,3600,460800,1800218,WIN
Matmul_Case1,3,34816,0,3601,460928,1771132,34816,0,3600,460800,1800218,WIN
