case,problem,order,extra,clean_bytes,dirty_bytes,spills,time,victim_policy,prefetch_window,assign_fallback,time_source,peak_L1,peak_UB,peak_L0A,peak_L0B,peak_L0C,phi
FlashAttention_Case0,2,baseline,3904,0,3904,31,50993,dist_size_cost,0,False,address,3328,1428,128,128,256,109.453125
FlashAttention_Case0,3,cp_list,211784,5632,206152,1085,716486,far_only,80,False,address,10240,25352,8192,8192,12288,68050.328125
FlashAttention_Case0,3,cp_free_first,3904,0,3904,31,53030,dist_size_cost,0,False,address,3328,1428,128,128,512,108.306640625
FlashAttention_Case0,3,pressure_uniform,101356,0,101356,559,384116,dist_size_cost,0,False,address,256,25352,8192,8192,256,40319.0234375
FlashAttention_Case0,3,goodman_hsu,90092,0,90092,515,339636,dist_size_cost,0,False,address,4096,25352,8192,8192,256,39170.8046875
FlashAttention_Case0,3,ours,5832,0,5832,58,46167,dist_size_cost,120,False,address,4096,1510,256,256,512,120.21484375
FlashAttention_Case0,3,baseline,3904,0,3904,31,50993,dist_size_cost,0,False,address,3328,1428,128,128,256,109.453125
FlashAttention_Case1,1,cp_list,965944,19712,946232,4848,3227726,far_only,80,False,address,28672,105616,32768,32768,49152,1182250.79296875
FlashAttention_Case1,1,cp_free_first,33152,8448,24704,224,227533,dist_size_cost,0,False,address,5376,2468,128,128,512,5426.751953125
FlashAttention_Case1,1,pressure_uniform,445876,0,445876,2479,1660093,dist_size_cost,0,False,address,256,105616,32768,32768,256,693093.5859375
FlashAttention_Case1,1,goodman_hsu,418228,0,418228,2371,1560913,dist_size_cost,0,False,address,4096,105616,32768,32768,256,686355.5546875
FlashAttention_Case1,1,ours,245104,0,245104,1146,829679,dist_size_cost,0,False,address,256,33010,14336,16384,2048,173402.76171875
FlashAttention_Case1,1,baseline,33152,8448,24704,224,226085,dist_size_cost,0,False,address,5376,2468,128,128,256,5434.015625
FlashAttention_Case1,2,cp_list,965944,19712,946232,4848,3227726,far_only,80,False,address,28672,105616,32768,32768,49152,1182250.79296875
FlashAttention_Case1,2,cp_free_first,33152,8448,24704,224,227533,dist_size_cost,0,False,address,5376,2468,128,128,512,5426.751953125
FlashAttention_Case1,2,pressure_uniform,445876,0,445876,2479,1660093,dist_size_cost,0,False,address,256,105616,32768,32768,256,693093.5859375
FlashAttention_Case1,2,goodman_hsu,418228,0,418228,2371,1560913,dist_size_cost,0,False,address,4096,105616,32768,32768,256,686355.5546875
FlashAttention_Case1,2,ours,32920,8448,24472,229,214361,dist_size_cost,5,False,address,5376,2468,256,256,512,5410.021484375
FlashAttention_Case1,2,baseline,33152,8448,24704,224,226085,dist_size_cost,0,False,address,5376,2468,128,128,256,5434.015625
FlashAttention_Case1,3,cp_list,965944,19712,946232,4848,3227726,far_only,80,False,address,28672,105616,32768,32768,49152,1182250.79296875
FlashAttention_Case1,3,cp_free_first,33152,8448,24704,224,227533,dist_size_cost,0,False,address,5376,2468,128,128,512,5426.751953125
FlashAttention_Case1,3,pressure_uniform,445876,0,445876,2479,1660093,dist_size_cost,0,False,address,256,105616,32768,32768,256,693093.5859375
FlashAttention_Case1,3,goodman_hsu,418228,0,418228,2371,1560913,dist_size_cost,0,False,address,4096,105616,32768,32768,256,686355.5546875
FlashAttention_Case1,3,ours,34432,9216,25216,229,180364,dist_size_cost,80,False,address,5376,2468,128,128,512,5426.751953125
FlashAttention_Case1,3,baseline,33152,8448,24704,224,226085,dist_size_cost,0,False,address,5376,2468,128,128,256,5434.015625
Matmul_Case0,1,cp_list,823168,17792,805376,2719,2173329,far_only,80,False,address,16384,0,65536,65536,16384,657565.0
Matmul_Case0,1,cp_free_first,34944,34944,0,273,194331,dist_size_cost,0,False,address,9216,0,128,128,256,2369.75
Matmul_Case0,1,pressure_uniform,296064,34944,261120,1293,897262,dist_size_cost,0,False,address,9216,0,65536,65536,256,618920.75
Matmul_Case0,1,goodman_hsu,298240,37120,261120,1310,917054,dist_size_cost,0,False,address,10752,0,65536,65536,256,615192.875
Matmul_Case0,1,ours,311296,0,311296,880,936347,dist_size_cost,0,False,address,128,0,7296,57344,2048,277632.5
Matmul_Case0,1,baseline,34944,34944,0,273,194331,dist_size_cost,0,False,address,9216,0,128,128,256,2369.75
Matmul_Case0,2,cp_list,823168,17792,805376,2719,2173329,far_only,80,False,address,16384,0,65536,65536,16384,657565.0
Matmul_Case0,2,cp_free_first,34944,34944,0,273,194331,dist_size_cost,0,False,address,9216,0,128,128,256,2369.75
Matmul_Case0,2,pressure_uniform,296064,34944,261120,1293,897262,dist_size_cost,0,False,address,9216,0,65536,65536,256,618920.75
Matmul_Case0,2,goodman_hsu,298240,37120,261120,1310,917054,dist_size_cost,0,False,address,10752,0,65536,65536,256,615192.875
Matmul_Case0,2,ours,34688,34688,0,271,192380,dist_size_cost,0,False,address,9216,0,256,256,512,2344.84375
Matmul_Case0,2,baseline,34944,34944,0,273,194331,dist_size_cost,0,False,address,9216,0,128,128,256,2369.75
Matmul_Case0,3,cp_list,823168,17792,805376,2719,2173329,far_only,80,False,address,16384,0,65536,65536,16384,657565.0
