case,order,cv,extra_min,extra_max
Conv_Case0,capfit_id,0.00943330191123077,121048,123880
Conv_Case0,p1,0.0,88044,88044
Conv_Case0,id_raw,0.023722154164763583,212956,227740
Conv_Case0,min_id,0.007130806550623157,473801,483257
Conv_Case0,baseline,0.09577481650718427,74076,90644
Conv_Case1,capfit_id,0.039415979689227026,78056,86008
Conv_Case1,p1,2.6136821030731674e-05,382592,382612
Conv_Case1,id_raw,0.03467507257293804,73348,79952
Conv_Case1,min_id,0.040543081624078596,1107476,1204274
Conv_Case1,baseline,0.03467507257293804,73348,79952
FlashAttention_Case0,capfit_id,0.0,4444,4444
FlashAttention_Case0,p1,0.0,48548,48548
FlashAttention_Case0,id_raw,0.0,3904,3904
FlashAttention_Case0,min_id,0.011498341760702293,117520,120592
FlashAttention_Case0,baseline,0.0,3904,3904
FlashAttention_Case1,capfit_id,0.0,32920,32920
FlashAttention_Case1,p1,0.0,245104,245104
FlashAttention_Case1,id_raw,0.0,33152,33152
FlashAttention_Case1,min_id,0.05912410188313788,511024,575536
FlashAttention_Case1,baseline,0.0,33152,33152
Matmul_Case0,capfit_id,0.0,34688,34688
Matmul_Case0,p1,0.0,311296,311296
Matmul_Case0,id_raw,0.0,34944,34944
Matmul_Case0,min_id,0.0,340224,340224
Matmul_Case0,baseline,0.0,34944,34944
Matmul_Case1,capfit_id,0.0,460800,460800
Matmul_Case1,p1,0.0,2818048,2818048
Matmul_Case1,id_raw,0.0,460800,460800
Matmul_Case1,min_id,0.0,2748544,2748544
Matmul_Case1,baseline,0.0,460800,460800
