case,spearman_phi_extra,spearman_peak_extra,spearman_phi_time,n
Conv_Case0,0.6,0.6,0.6,6
Conv_Case1,0.54077263383169,0.29325153374233126,0.6854691662401694,17
FlashAttention_Case0,0.20723486421214424,0.43120425659407785,0.24754901960784315,17
FlashAttention_Case1,0.4696506094275222,0.498156488904147,0.5196078431372549,17
Matmul_Case0,0.4260283184553522,0.3912526268339324,0.5702024370334147,17
Matmul_Case1,0.4081137853552264,0.19704433497536947,0.6045372074354267,17
ALL,0.9574714615363904,0.9548522493441016,0.954725530253589,91
