case,cache,capacity,min_peak_all,ratio_all,min_peak_nearopt,ratio_nearopt,nearopt_order,n_nearopt,clean_frac_at_peak,bound_class
Conv_Case0,L1,4096,6912,1.6875,6912,1.6875,p1,2,0.0,capacity_bound
Conv_Case0,UB,1024,0,0.0,0,0.0,p1,2,0.0,order_reachable
Conv_Case0,L0A,256,0,0.0,0,0.0,p1,2,0.0,order_reachable
Conv_Case0,L0B,256,96,0.375,96,0.375,baseline,2,0.0,order_reachable
Conv_Case0,L0C,512,0,0.0,0,0.0,p1,2,0.0,order_reachable
Conv_Case1,L1,4096,13786,3.36572265625,14040,3.427734375,capfit_id,3,0.8415954415954416,capacity_bound
Conv_Case1,UB,1024,0,0.0,0,0.0,capfit_id,3,0.0,order_reachable
Conv_Case1,L0A,256,0,0.0,0,0.0,capfit_id,3,0.0,order_reachable
Conv_Case1,L0B,256,96,0.375,96,0.375,id_raw,3,0.0,order_reachable
Conv_Case1,L0C,512,0,0.0,0,0.0,capfit_id,3,0.0,order_reachable
FlashAttention_Case0,L1,4096,256,0.0625,3328,0.8125,id_raw,2,0.9230769230769231,order_reachable
FlashAttention_Case0,UB,1024,1428,1.39453125,1428,1.39453125,id_raw,2,0.0,capacity_bound
FlashAttention_Case0,L0A,256,128,0.5,128,0.5,id_raw,2,0.0,order_reachable
FlashAttention_Case0,L0B,256,128,0.5,128,0.5,id_raw,2,0.0,order_reachable
FlashAttention_Case0,L0C,512,256,0.5,256,0.5,baseline,2,0.0,order_reachable
FlashAttention_Case1,L1,4096,256,0.0625,5376,1.3125,capfit_id,3,0.9523809523809523,capacity_bound
FlashAttention_Case1,UB,1024,2468,2.41015625,2468,2.41015625,capfit_id,3,0.0,capacity_bound
FlashAttention_Case1,L0A,256,128,0.5,128,0.5,id_raw,3,0.0,order_reachable
FlashAttention_Case1,L0B,256,128,0.5,128,0.5,id_raw,3,0.0,order_reachable
FlashAttention_Case1,L0C,512,256,0.5,256,0.5,baseline,3,0.0,order_reachable
Matmul_Case0,L1,4096,128,0.03125,9216,2.25,capfit_id,3,1.0,capacity_bound
Matmul_Case0,UB,1024,0,0.0,0,0.0,capfit_id,3,0.0,order_reachable
Matmul_Case0,L0A,256,128,0.5,128,0.5,id_raw,3,0.0,order_reachable
Matmul_Case0,L0B,256,128,0.5,128,0.5,id_raw,3,0.0,order_reachable
Matmul_Case0,L0C,512,256,0.5,256,0.5,id_raw,3,0.0,order_reachable
Matmul_Case1,L1,4096,128,0.03125,34816,8.5,capfit_id,3,1.0,capacity_bound
Matmul_Case1,UB,1024,0,0.0,0,0.0,capfit_id,3,0.0,order_reachable
Matmul_Case1,L0A,256,128,0.5,128,0.5,id_raw,3,0.0,order_reachable
Matmul_Case1,L0B,256,128,0.5,128,0.5,id_raw,3,0.0,order_reachable
Matmul_Case1,L0C,512,256,0.5,256,0.5,id_raw,3,0.0,order_reachable
