case,P1_time,P2_time,P3_time,P2_P1_ratio,P3_P1_ratio
Conv_Case0,359570,535312,535312,1.4887560141279863,1.4887560141279863
Conv_Case1,573395,1150333,1073322,2.006178986562492,1.8718719207527097
FlashAttention_Case0,31429,53374,46761,1.6982404785389291,1.4878297114130261
FlashAttention_Case1,113445,193059,193059,1.70178500595002,1.70178500595002
Matmul_Case0,82773,194331,194331,2.3477583269906854,2.3477583269906854
Matmul_Case1,583525,1800218,1800218,3.0850743327192496,3.0850743327192496
