case,label,p2_scalable_extra,p2_official_extra,p2_ratio,p2_reduction_pct,p2_result,p3_scalable_time,p3_official_time,p3_ratio,p3_delta_pct,p3_result,valid,violations
Conv_Case0,Conv 0,66828,73500,0.9092244897959184,9.077551020408164,WIN,515634,535312,0.9632401291209612,-3.6759870879038767,WIN,True,0
Conv_Case1,Conv 1,72734,73240,0.9930912069907154,0.6908793009284544,WIN,1118687,1073322,1.042265974236995,4.226597423699505,LOSS,True,0
FlashAttention_Case0,FA 0,3584,3692,0.9707475622968581,2.925243770314193,WIN,36344,46761,0.7772288873206304,-22.277111267936956,WIN,True,0
FlashAttention_Case1,FA 1,32512,32840,0.9900121802679659,0.9987819732034104,WIN,152364,193059,0.7892095162618681,-21.079048373813187,WIN,True,0
Matmul_Case0,Matmul 0,34688,34944,0.9926739926739927,0.7326007326007326,WIN,186820,194331,0.9613494501649248,-3.8650549835075205,WIN,True,0
Matmul_Case1,Matmul 1,460800,460800,1.0,0.0,TIE,1771383,1800218,0.9839824954533284,-1.601750454667157,WIN,True,0
