comparator,regime,n_instances,v2_wins,ties,v2_losses,median_v2_over_comparator_extra
prev_portfolio,all,36,0,36,0,1
prev_portfolio,capacity_bound,18,0,18,0,1
prev_portfolio,order_reachable,18,0,18,0,1
cp_list,all,36,30,6,0,0.38686361
cp_list,capacity_bound,18,18,0,0,0.4
cp_list,order_reachable,18,12,6,0,0
cp_free_first,all,36,14,22,0,1
cp_free_first,capacity_bound,18,14,4,0,0.5
cp_free_first,order_reachable,18,0,18,0,1
pressure_uniform,all,36,13,23,0,1
pressure_uniform,capacity_bound,18,10,8,0,0.83864781
pressure_uniform,order_reachable,18,3,15,0,1
goodman_hsu,all,36,19,17,0,0.66666667
goodman_hsu,capacity_bound,18,7,11,0,1
goodman_hsu,order_reachable,18,12,6,0,0
random_best,all,36,27,9,0,0.33617779
random_best,capacity_bound,18,18,0,0,0.33617779
random_best,order_reachable,18,9,9,0,0.5
